City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa elena de uairen,4.6167,-61.1333,21.11,91,100,1.4,VE,1684975923
1,bashanet,-4.2333,35.4167,10.88,98,83,2.65,TZ,1684975923
2,port elizabeth,-33.918,25.5701,17.95,88,0,5.66,ZA,1684975701
3,longyearbyen,78.2186,15.6401,2.91,70,75,4.63,SJ,1684975924
4,kruisfontein,-34.0033,24.7314,13.27,62,6,2.93,ZA,1684975924
5,lata,40.1629,-8.3327,16.15,80,8,1.32,PT,1684975925
6,invercargill,-46.4,168.35,14.7,70,97,3.45,NZ,1684975925
7,arraial do cabo,-22.9661,-42.0278,17.98,94,20,1.03,BR,1684975926
8,jamestown,42.097,-79.2353,13.77,71,40,4.12,US,1684975763
9,luwuk,-0.9516,122.7875,29.06,71,82,3.17,ID,1684975927
10,santa cruz,-17.8,-63.1667,24.7,88,40,3.6,BO,1684975927
11,port-aux-francais,-49.35,70.2167,6.1,99,100,6.52,TF,1684975928
12,blackmans bay,-43.0167,147.3167,10.96,82,98,5.69,AU,1684975928
13,dinan,48.4167,-2.25,11.92,86,0,2.34,FR,1684975929
14,flin flon,54.7682,-101.865,18.19,57,97,5.4,CA,1684975929
15,urangan,-25.3,152.9,20.98,61,0,2.78,AU,1684975930
16,ushuaia,-54.8,-68.3,3.81,87,75,1.03,AR,1684975536
17,ciudad lazaro cardenas,17.9583,-102.2,28.25,71,100,3.77,MX,1684975930
18,saudarkrokur,65.7461,-19.6394,3.1,72,59,8.37,IS,1684975931
19,bethel,41.3712,-73.414,15.27,79,100,2.68,US,1684975637
20,palopo,-2.9996,120.1921,27.16,78,100,1.07,ID,1684975932
21,colonia,50.9333,6.95,10.53,83,0,0.51,DE,1684975748
22,el rama,12.1596,-84.2195,26.37,74,15,3.28,NI,1684975933
23,qaqortoq,60.7167,-46.0333,0.47,100,100,4.16,GL,1684975933
24,tiksi,71.6872,128.8694,-2.95,81,17,1.76,RU,1684975934
25,chonchi,-42.6128,-73.8092,7.77,79,75,4.61,CL,1684975934
26,shalkar,47.8288,59.6258,18.55,39,0,3.48,KZ,1684975934
27,albany,42.6001,-73.9662,12.04,85,63,3.75,US,1684975906
28,afaahiti,-17.75,-149.2833,27.93,77,48,3.35,PF,1684975935
29,boguchany,58.3814,97.4531,5.79,63,29,3.97,RU,1684975936
30,edinburgh of the seven seas,-37.0676,-12.3116,14.84,70,92,12.3,SH,1684975936
31,adamstown,-25.066,-130.1015,23.71,71,58,2.57,PN,1684975937
32,margaret river,-33.95,115.0667,14.18,65,52,4.82,AU,1684975937
33,lethem,3.3803,-59.7968,25.84,83,41,3.06,GY,1684975938
